流水號,課程名稱,授課教師,時間&教室,課程連結
1007,大學國文：文學鑑賞與寫作（一）,佘筠珺,"一7,8,9(普301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=14&dpt_code=0000&ser_no=01007&semester=113-1&lang=CH
1008,大學國文：文學鑑賞與寫作（一）,洪淑苓,"一7,8,9(普303)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=15&dpt_code=0000&ser_no=01008&semester=113-1&lang=CH
1011,大學國文：文學鑑賞與寫作（一）,劉柏正,"一7,8,9(普404)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=18&dpt_code=0000&ser_no=01011&semester=113-1&lang=CH
1012,大學國文：文學鑑賞與寫作（一）,張宇衛,"一7,8,9(普405)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=19&dpt_code=0000&ser_no=01012&semester=113-1&lang=CH
1013,大學國文：文學鑑賞與寫作（一）,潘少瑜,"一7,8,9(普205)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=20&dpt_code=0000&ser_no=01013&semester=113-1&lang=CH
1014,大學國文：文學鑑賞與寫作（一）,高嘉謙,"四7,8,9(普401)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=24&dpt_code=0000&ser_no=01014&semester=113-1&lang=CH
1016,大學國文：文學鑑賞與寫作（一）,李文鈺,"四7,8,9(共302)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=26&dpt_code=0000&ser_no=01016&semester=113-1&lang=CH
1017,大學國文：文學鑑賞與寫作（一）,蔡 瑜,"四7,8,9(普304)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=27&dpt_code=0000&ser_no=01017&semester=113-1&lang=CH
1018,大學國文：文學鑑賞與寫作（一）,劉柏正,"二8,9,10(普406)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=29&dpt_code=0000&ser_no=01018&semester=113-1&lang=CH
1019,大學國文：文學鑑賞與寫作（一）,謝佩芬,"二8,9,10(普205)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=30&dpt_code=0000&ser_no=01019&semester=113-1&lang=CH
1020,大學國文：文學鑑賞與寫作（一）,佘筠珺,"一3,4,5(普302)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=34&dpt_code=0000&ser_no=01020&semester=113-1&lang=CH
1021,大學國文：文學鑑賞與寫作（一）,楊芳燕,"一3,4,5(普202)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=35&dpt_code=0000&ser_no=01021&semester=113-1&lang=CH
1022,大學國文：文學鑑賞與寫作（一）,蕭旭府,"一3,4,5(普503)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=36&dpt_code=0000&ser_no=01022&semester=113-1&lang=CH
1023,大學國文：文學鑑賞與寫作（一）,沈凡玉,"二3,4,5(新501)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=40&dpt_code=0000&ser_no=01023&semester=113-1&lang=CH
1024,大學國文：文學鑑賞與寫作（一）,劉少雄,"二3,4,5(普302)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080110&class=41&dpt_code=0000&ser_no=01024&semester=113-1&lang=CH
